Country_Region,Province_State,Confirmed,Deaths
Costa Rica,,814583,8082
Cote d'Ivoire,,81534,795
Croatia,,1061429,15172
Cuba,,1071964,8498
Cyprus,,329674,873
Czechia,,3616640,38837
Denmark,Faroe Islands,34658,28
Denmark,Greenland,11806,20
Denmark,,2837501,4772
Diamond Princess,,712,13
Djibouti,,15550,189
Dominica,,11248,61
Dominican Republic,,575592,4370
Ecuador,,836216,35264
Egypt,,488763,24162
El Salvador,,156364,4083
Equatorial Guinea,,15885,183
Eritrea,,9708,103
Estonia,,511022,2275
Eswatini,,69290,1391
Ethiopia,,468895,7476
Fiji,,64019,834
Finland,,671773,2387
France,French Guiana,77765,392
France,French Polynesia,68425,642
France,Guadeloupe,124528,918
France,Martinique,116168,895
France,Mayotte,36703,187
France,New Caledonia,56833,302
France,Reunion,302162,666
France,Saint Barthelemy,3780,6
France,Saint Pierre and Miquelon,1102,1
France,St Martin,9912,63
France,Wallis and Futuna,454,7
France,,22340070,136065
Gabon,,47543,303
Gambia,,11948,365
Georgia,,1620639,16306
Germany,Baden-Wurttemberg,2227857,14409
Germany,Bayern,2936074,21572
Germany,Berlin,767892,4276
Germany,Brandenburg,546402,5218
Germany,Bremen,118678,687
Germany,Hamburg,357855,2313
Germany,Hessen,1111774,9267
Germany,Mecklenburg-Vorpommern,261751,1795
Germany,Niedersachsen,1134153,7582
Germany,Nordrhein-Westfalen,3222493,22528
Germany,Rheinland-Pfalz,619374,5047
Germany,Saarland,169340,1414
Germany,Sachsen,982258,14376
Germany,Sachsen-Anhalt,440003,4794
Germany,Schleswig-Holstein,344003,2141
Germany,Thuringen,434312,6636
Germany,Unknown,39734,0
Ghana,,160028,1442
Greece,,2486262,26092
Grenada,,13690,216
Guatemala,,789354,17045
Guinea,,36397,440
Guinea-Bissau,,8027,167
Guyana,,63024,1223
Haiti,,30382,820
Holy See,,29,0
Honduras,,413699,10785
Hungary,,1800046,44286
Iceland,,140929,68
India,Andaman and Nicobar Islands,10020,129
India,Andhra Pradesh,2318262,14729
India,Arunachal Pradesh,64461,296
India,Assam,724157,6639
India,Bihar,830227,12255
India,Chandigarh,91785,1165
India,Chhattisgarh,1151343,14030
India,Dadra and Nagar Haveli and Daman and Diu,11440,4
India,Delhi,1861189,26134
India,Goa,245099,3826
India,Gujarat,1223130,10934
India,Haryana,982682,10571
India,Himachal Pradesh,283605,4122
India,Jammu and Kashmir,453167,4749
India,Jharkhand,434516,5315
India,Karnataka,3942068,39985
India,Kerala,6508845,66012
India,Ladakh,28095,228
India,Lakshadweep,11400,52
India,Madhya Pradesh,1039745,10732
India,Maharashtra,7867916,143727
India,Manipur,136872,2113
India,Meghalaya,93557,1582
India,Mizoram,217038,661
India,Nagaland,35417,757
India,Odisha,1285615,9091
India,Puducherry,165739,1962
India,Punjab,758352,17719
India,Rajasthan,1280876,9540
India,Sikkim,39081,443
India,Tamil Nadu,3450594,38011
India,Telangana,789553,4111
India,Tripura,100868,919
India,Unknown,0,0
India,Uttar Pradesh,2068765,23471
India,Uttarakhand,436328,7686
India,West Bengal,2015670,21178
Indonesia,,5693702,149596
Iran,,7080217,137593
Iraq,,2307158,25034
Ireland,,1315100,6531
Israel,,3662064,10264
Italy,Abruzzo,268050,2986
Italy,Basilicata,85239,771
Italy,Calabria,222996,2117
Italy,Campania,1221128,9813
Italy,Emilia-Romagna,1194546,15981
Italy,Friuli Venezia Giulia,310569,4802
Italy,Lazio,1090008,10488
Italy,Liguria,349181,5127
Italy,Lombardia,2351731,38726
Italy,Marche,332731,3607
Italy,Molise,40096,571
Italy,P.A. Bolzano,190005,1413
Italy,P.A. Trento,140221,1522
Italy,Piemonte,985557,13075
Italy,Puglia,749431,7710
Italy,Sardegna,180834,2076
Italy,Sicilia,804760,9580
Italy,Toscana,866985,9097
Italy,Umbria,188044,1746
Italy,Valle d'Aosta,31572,522
Italy,Veneto,1345175,13879
Jamaica,,128142,2825
Japan,Aichi,339609,1720
Japan,Akita,10547,35
Japan,Aomori,23248,68
Japan,Chiba,283498,1392
Japan,Ehime,18052,118
Japan,Fukui,13985,39
Japan,Fukuoka,244840,985
Japan,Fukushima,25513,188
Japan,Gifu,55045,283
Japan,Gunma,54438,255
Japan,Hiroshima,77132,405
Japan,Hokkaido,180391,1799
Japan,Hyogo,274982,1874
Japan,Ibaraki,78727,303
Japan,Ishikawa,26537,172
Japan,Iwate,11954,61
Japan,Kagawa,20261,80
Japan,Kagoshima,32917,130
Japan,Kanagawa,477515,1775
Japan,Kochi,12806,82
Japan,Kumamoto,51176,242
Japan,Kyoto,130021,466
Japan,Mie,43401,248
Japan,Miyagi,43131,148
Japan,Miyazaki,19515,96
Japan,Nagano,32481,151
Japan,Nagasaki,27560,108
Japan,Nara,59028,282
Japan,Niigata,30968,73
Japan,Oita,25142,105
Japan,Okayama,51093,205
Japan,Okinawa,103340,429
Japan,Osaka,679792,4048
Japan,Port Quarantine,4463,4
Japan,Saga,24614,65
Japan,Saitama,331610,1213
Japan,Shiga,52543,146
Japan,Shimane,6788,8
Japan,Shizuoka,94498,346
Japan,Tochigi,48155,206
Japan,Tokushima,12042,75
Japan,Tokyo,1041302,3767
Japan,Tottori,7206,9
Japan,Toyama,19764,67
Japan,Unknown,8,0
Japan,Wakayama,23562,104
Japan,Yamagata,12432,69
Japan,Yamaguchi,22204,136
Japan,Yamanashi,17819,52
Jordan,,1638228,13849
Kazakhstan,,1391813,18967
Kenya,,323057,5640
Kiribati,,2974,11
"Korea, South",,4212652,8796
Kosovo,,226513,3117
Kuwait,,621965,2543
Kyrgyzstan,,200599,2962
Laos,,143710,628
Latvia,,689794,5323
Lebanon,,1075974,10134
Lesotho,,32707,697
Liberia,,7384,294
Libya,,497279,6288
Liechtenstein,,12681,78
Lithuania,,923810,8481
Luxembourg,,186360,996
MS Zaandam,,9,2
Madagascar,,63659,1366
Malawi,,85396,2617
Malaysia,Johor,327914,4137
Malaysia,Kedah,244050,2310
Malaysia,Kelantan,221323,1321
Malaysia,Melaka,100255,1013
Malaysia,Negeri Sembilan,152912,1370
Malaysia,Pahang,136293,858
Malaysia,Perak,156538,1546
Malaysia,Perlis,13147,147
Malaysia,Pulau Pinang,220204,1827
Malaysia,Sabah,348796,3021
Malaysia,Sarawak,264956,1631
Malaysia,Selangor,979047,10230
Malaysia,Terengganu,101043,786
Malaysia,Unknown,0,0
Malaysia,W.P. Kuala Lumpur,262690,2732
Malaysia,W.P. Labuan,17990,152
Malaysia,W.P. Putrajaya,14608,25
Maldives,,171947,297
Mali,,30396,724
Malta,,71679,607
Marshall Islands,,7,0
Mauritania,,58645,980
Mauritius,,70862,786
Mexico,Aguascalientes,60844,3461
Mexico,Baja California,129625,12096
Mexico,Baja California Sur,100927,2613
Mexico,Campeche,33341,2223
Mexico,Chiapas,33656,2385
Mexico,Chihuahua,123999,9809
Mexico,Ciudad de Mexico,1359021,42220
Mexico,Coahuila,143519,8703
Mexico,Colima,54137,2173
Mexico,Durango,67628,3502
Mexico,Guanajuato,275709,14699
Mexico,Guerrero,97314,6673
Mexico,Hidalgo,88812,8308
Mexico,Jalisco,231996,19189
Mexico,Mexico,525233,46608
Mexico,Michoacan,92838,8706
Mexico,Morelos,66117,5164
Mexico,Nayarit,57607,3134
Mexico,Nuevo Leon,307968,14828
Mexico,Oaxaca,117189,6029
Mexico,Puebla,166301,16253
Mexico,Queretaro,139871,6116
Mexico,Quintana Roo,91021,4324
Mexico,San Luis Potosi,179743,7405
Mexico,Sinaloa,119473,9548
Mexico,Sonora,161956,9951
Mexico,Tabasco,189191,6006
Mexico,Tamaulipas,140835,7893
Mexico,Tlaxcala,42900,3053
Mexico,Unknown,0,0
Mexico,Veracruz,170359,15940
Mexico,Yucatan,108333,6456
Mexico,Zacatecas,67181,3828
Micronesia,,1,0
Moldova,,504307,11269
Monaco,,9445,51
Mongolia,,911183,2173
Montenegro,,230759,2684
Morocco,,1161506,16009
Mozambique,,225121,2195
Namibia,,157311,4013
Nepal,,977380,11945
Netherlands,Aruba,33732,212
Netherlands,"Bonaire, Sint Eustatius and Saba",7616,31
Netherlands,Curacao,39133,264
Netherlands,Drenthe,151070,436
Netherlands,Flevoland,154205,323
Netherlands,Friesland,222739,597
Netherlands,Gelderland,778590,2695
Netherlands,Groningen,189046,340
Netherlands,Limburg,414969,2108
Netherlands,Noord-Brabant,1000481,3608
Netherlands,Noord-Holland,1105329,3254
Netherlands,Overijssel,449865,1378
Netherlands,Sint Maarten,9573,85
Netherlands,Unknown,84139,21
Netherlands,Utrecht,545563,1507
Netherlands,Zeeland,135895,370
Netherlands,Zuid-Holland,1425426,4983
New Zealand,Cook Islands,2,0
New Zealand,,207562,63
Nicaragua,,18105,225
Niger,,8760,307
Nigeria,,254637,3142
North Macedonia,,299049,9065
Norway,,1299549,1664
Oman,,383874,4248
Pakistan,Azad Jammu and Kashmir,43094,788
Pakistan,Balochistan,35363,376
Pakistan,Gilgit-Baltistan,11559,191
Pakistan,Islamabad,134583,1016
Pakistan,Khyber Pakhtunkhwa,216812,6286
Pakistan,Punjab,502455,13518
Pakistan,Sindh,569637,8083
Palau,,3844,6
Panama,,757061,8106
Papua New Guinea,,41421,638
Paraguay,,643342,18454
Peru,Amazonas,43598,1332
Peru,Ancash,124283,7046
Peru,Apurimac,38472,1607
Peru,Arequipa,210750,10166
Peru,Ayacucho,47860,2300
Peru,Cajamarca,95346,4405
Peru,Callao,145812,10437
Peru,Cusco,116075,5094
Peru,Huancavelica,25429,1253
Peru,Huanuco,51696,2851
Peru,Ica,102912,8871
Peru,Junin,124954,7384
Peru,La Libertad,145559,10849
Peru,Lambayeque,104765,9186
Peru,Lima,1594692,92474
Peru,Loreto,57696,4365
Peru,Madre de Dios,17645,835
Peru,Moquegua,48089,1604
Peru,Pasco,23744,1086
Peru,Piura,156821,12974
Peru,Puno,65013,4668
Peru,San Martin,61623,3126
Peru,Tacna,53526,2109
Peru,Tumbes,26808,1678
Peru,Ucayali,39316,3207
Peru,Unknown,0,0
Philippines,,3665747,56770
Poland,,5721316,112336
Portugal,,3308438,21162
Qatar,,357920,670
Romania,,2760332,63849
Russia,Adygea Republic,44797,902
Russia,Altai Krai,242772,8040
Russia,Altai Republic,32120,587
Russia,Amur Oblast,93691,714
Russia,Arkhangelsk Oblast,215746,1586
Russia,Astrakhan Oblast,110966,2848
Russia,Bashkortostan Republic,235486,5284
Russia,Belgorod Oblast,118563,2049
Russia,Bryansk Oblast,147451,3524
Russia,Buryatia Republic,125753,2874
Russia,Chechen Republic,42330,1071
Russia,Chelyabinsk Oblast,288816,7023
Russia,Chukotka Autonomous Okrug,5111,41
Russia,Chuvashia Republic,74000,4439
Russia,Dagestan Republic,89829,3543
Russia,Ingushetia Republic,39373,541
Russia,Irkutsk Oblast,251882,7905
Russia,Ivanovo Oblast,100233,2878
Russia,Jewish Autonomous Okrug,15579,483
Russia,Kabardino-Balkarian Republic,58471,1777
Russia,Kaliningrad Oblast,150197,1637
Russia,Kalmykia Republic,47495,816
Russia,Kaluga Oblast,96466,1364
Russia,Kamchatka Krai,36974,588
Russia,Karachay-Cherkess Republic,43484,971
Russia,Karelia Republic,126471,1406
Russia,Kemerovo Oblast,146808,2140
Russia,Khabarovsk Krai,178672,1445
Russia,Khakassia Republic,84245,2252
Russia,Khanty-Mansi Autonomous Okrug,196140,2399
Russia,Kirov Oblast,140821,895
Russia,Komi Republic,160235,2929
Russia,Kostroma Oblast,81469,1236
Russia,Krasnodar Krai,231370,10453
Russia,Krasnoyarsk Krai,345905,10074
Russia,Kurgan Oblast,90511,1214
Russia,Kursk Oblast,106860,2300
Russia,Leningrad Oblast,172477,3345
Russia,Lipetsk Oblast,130407,3314
Russia,Magadan Oblast,18824,378
Russia,Mari El Republic,43252,1047
Russia,Mordovia Republic,60850,1279
Russia,Moscow,2706980,41602
Russia,Moscow Oblast,944700,14290
Russia,Murmansk Oblast,127486,3122
Russia,Nenets Autonomous Okrug,6799,93
Russia,Nizhny Novgorod Oblast,373658,11152
Russia,North Ossetia - Alania Republic,39216,1212
Russia,Novgorod Oblast,93915,945
Russia,Novosibirsk Oblast,230281,5046
Russia,Omsk Oblast,193627,3905
Russia,Orel Oblast,100610,1760
Russia,Orenburg Oblast,193058,3747
Russia,Penza Oblast,160023,5292
Russia,Perm Krai,329484,8405
Russia,Primorsky Krai,156233,1827
Russia,Pskov Oblast,99179,1596
Russia,Rostov Oblast,331640,10400
Russia,Ryazan Oblast,104513,3070
Russia,Saint Petersburg,1452714,32168
Russia,Sakha (Yakutiya) Republic,161184,2013
Russia,Sakhalin Oblast,60715,759
Russia,Samara Oblast,341799,7165
Russia,Saratov Oblast,212348,5673
Russia,Smolensk Oblast,120032,2791
Russia,Stavropol Krai,185723,6828
Russia,Sverdlovsk Oblast,369719,10331
Russia,Tambov Oblast,101668,2215
Russia,Tatarstan Republic,123009,1742
Russia,Tomsk Oblast,105472,752
Russia,Tula Oblast,140423,4885
Russia,Tver Oblast,148550,2579
Russia,Tyumen Oblast,170179,3959
Russia,Tyva Republic,44085,341
Russia,Udmurt Republic,153056,3630
Russia,Ulyanovsk Oblast,175493,4378
Russia,Vladimir Oblast,138608,3231
Russia,Volgograd Oblast,189487,6416
Russia,Vologda Oblast,168709,3428
Russia,Voronezh Oblast,339981,7695
Russia,Yamalo-Nenets Autonomous Okrug,127996,1013
Russia,Yaroslavl Oblast,139507,2502
Russia,Zabaykalsky Krai,149171,2181
Rwanda,,129548,1458
Saint Kitts and Nevis,,5533,42
Saint Lucia,,22733,360
Saint Vincent and the Grenadines,,8316,106
Samoa,,33,0
San Marino,,14487,112
Sao Tome and Principe,,5939,72
Saudi Arabia,,746836,9005
Senegal,,85739,1961
Serbia,,1921831,15375
Seychelles,,39427,163
Sierra Leone,,7665,125
Singapore,,803389,1067
Slovakia,,2178234,18631
Slovenia,,900857,6341
Solomon Islands,,7326,111
Somalia,,26351,1348
South Africa,,3681437,99517
South Sudan,,16999,137
Spain,Andalusia,1350312,12852
Spain,Aragon,398524,4866
Spain,Asturias,195213,2501
Spain,Baleares,255498,1218
Spain,C. Valenciana,1304243,9043
Spain,Canarias,297195,1592
Spain,Cantabria,126294,765
Spain,Castilla - La Mancha,473631,7094
Spain,Castilla y Leon,655412,8281
Spain,Catalonia,2286486,18355
Spain,Ceuta,18927,145
Spain,Extremadura,236938,2239
Spain,Galicia,534214,3109
Spain,La Rioja,89603,907
Spain,Madrid,1604494,17450
Spain,Melilla,20296,150
Spain,Murcia,375894,2170
Spain,Navarra,223910,1499
Spain,Pais Vasco,653344,6177
Spain,Unknown,0,0
Sri Lanka,,648993,16307
Sudan,,61569,3912
Summer Olympics 2020,,865,0
Suriname,,78454,1317
Sweden,Blekinge,29019,153
Sweden,Dalarna,67499,427
Sweden,Gavleborg,72243,623
Sweden,Gotland,11229,60
Sweden,Halland,102826,403
Sweden,Jamtland Harjedalen,32099,147
Sweden,Jonkoping,85009,641
Sweden,Kalmar,58641,306
Sweden,Kronoberg,48191,367
Sweden,Norrbotten,47448,350
Sweden,Orebro,90054,421
Sweden,Ostergotland,93021,751
Sweden,Skane,333695,2172
Sweden,Sormland,61817,553
Sweden,Stockholm,563314,5092
Sweden,Uppsala,87650,635
Sweden,Varmland,63013,280
Sweden,Vasterbotten,54429,258
Sweden,Vasternorrland,51871,551
Sweden,Vastmanland,74143,440
Sweden,Vastra Gotaland,428755,2882
Switzerland,,2890568,13173
Syria,,54894,3089
Taiwan*,,20717,853
Tajikistan,,17786,125
Tanzania,,33620,798
Thailand,,3004814,23176
Timor-Leste,,22741,129
Togo,,36815,272
Tonga,,715,0
Trinidad and Tobago,,129321,3649
Tunisia,,1001754,27874
Turkey,,14293828,95205
US,Alabama,15530,199
US,Alabama,55079,650
US,Alabama,5447,94
US,Alabama,6381,99
US,Alabama,14803,221
US,Alabama,2281,49
US,Alabama,5037,122
US,Alabama,31887,590
US,Alabama,8437,153
US,Alabama,5090,79
US,Alabama,10656,192
US,Alabama,2033,35
US,Alabama,7053,97
US,Alabama,4078,78
US,Alabama,3542,68
US,Alabama,13312,224
US,Alabama,16179,244
US,Alabama,2839,66
US,Alabama,2921,55
US,Alabama,9246,220
US,Alabama,3776,94
US,Alabama,24427,354
US,Alabama,12430,219
US,Alabama,8330,231
US,Alabama,18579,313
US,Alabama,22898,330
US,Alabama,9964,159
US,Alabama,28693,607
US,Alabama,4927,93
US,Alabama,9815,135
US,Alabama,6195,155
US,Alabama,1856,48
US,Alabama,4668,101
US,Alabama,4445,70
US,Alabama,24917,479
US,Alabama,14938,229
US,Alabama,182156,2234
US,Alabama,3665,62
US,Alabama,23953,372
US,Alabama,7590,152
US,Alabama,37544,317
US,Alabama,24715,273
US,Alabama,2601,73
US,Alabama,3835,77
US,Alabama,88436,897
US,Alabama,5150,103
US,Alabama,7996,147
US,Alabama,27126,371
US,Alabama,112704,1577
US,Alabama,5256,78
US,Alabama,54452,874
US,Alabama,35874,482
US,Alabama,0,0
US,Alabama,2090,43
US,Alabama,5167,97
US,Alabama,7417,127
US,Alabama,5047,74
US,Alabama,10001,81
US,Alabama,58902,423
US,Alabama,24999,402
US,Alabama,2561,46
US,Alabama,22132,353
US,Alabama,11312,223
US,Alabama,54966,733
US,Alabama,0,0
US,Alabama,18484,419
US,Alabama,3717,56
US,Alabama,2864,42
US,Alabama,7544,120
US,Alaska,1034,3
US,Alaska,1678,2
US,Alaska,100891,510
US,Alaska,8890,40
US,Alaska,0,0
US,Alaska,804,1
US,Alaska,1865,9
US,Alaska,947,8
US,Alaska,390,1
US,Alaska,1554,11
US,Alaska,27150,130
US,Alaska,593,1
US,Alaska,7952,20
US,Alaska,17173,101
US,Alaska,3795,21
US,Alaska,4858,11
US,Alaska,3678,11
US,Alaska,33938,232
US,Alaska,5473,5
US,Alaska,4289,11
US,Alaska,4217,13
US,Alaska,697,3
US,Alaska,1376,8
US,Alaska,2245,6
US,Alaska,136,0
US,Alaska,2002,17
US,Alaska,892,1
US,Alaska,0,0
US,Alaska,457,1
US,Alaska,484,5
US,Alaska,1331,9
US,American Samoa,196,0
US,Arizona,21912,582
US,Arizona,31019,536
US,Arizona,43086,454
US,Arizona,16863,352
US,Arizona,11890,168
US,Arizona,2203,31
US,Arizona,5129,132
US,Arizona,1248818,15625
US,Arizona,56913,1366
US,Arizona,37678,850
US,Arizona,0,0
US,Arizona,250137,3623
US,Arizona,128929,1524
US,Arizona,16561,224
US,Arizona,17,0
US,Arizona,47443,1125
US,Arizona,62171,1116
US,Arkansas,5644,75
US,Arkansas,5073,62
US,Arkansas,8546,235
US,Arkansas,65933,788
US,Arkansas,9318,165
US,Arkansas,2978,46
US,Arkansas,935,9
US,Arkansas,6014,97
US,Arkansas,2748,54
US,Arkansas,5204,76
US,Arkansas,4066,90
US,Arkansas,6384,121
US,Arkansas,2243,35
US,Arkansas,5296,89
US,Arkansas,5408,58
US,Arkansas,36730,315
US,Arkansas,15707,236
US,Arkansas,13824,211
US,Arkansas,4746,77
US,Arkansas,1729,29
US,Arkansas,3004,38
US,Arkansas,4640,64
US,Arkansas,34767,303
US,Arkansas,3766,70
US,Arkansas,2647,85
US,Arkansas,22595,478
US,Arkansas,4368,58
US,Arkansas,15698,166
US,Arkansas,4482,58
US,Arkansas,11017,125
US,Arkansas,3727,48
US,Arkansas,10531,199
US,Arkansas,3858,65
US,Arkansas,5963,54
US,Arkansas,18495,265
US,Arkansas,6647,70
US,Arkansas,1274,30
US,Arkansas,5128,72
US,Arkansas,2879,58
US,Arkansas,4896,65
US,Arkansas,3230,88
US,Arkansas,5051,71
US,Arkansas,19667,229
US,Arkansas,3869,59
US,Arkansas,3314,85
US,Arkansas,9386,161
US,Arkansas,13149,192
US,Arkansas,1914,31
US,Arkansas,1484,55
US,Arkansas,2152,44
US,Arkansas,1700,45
US,Arkansas,5390,95
US,Arkansas,2483,33
US,Arkansas,4740,94
US,Arkansas,2532,40
US,Arkansas,7861,120
US,Arkansas,4079,136
US,Arkansas,18284,194
US,Arkansas,1950,41
US,Arkansas,102029,1134
US,Arkansas,4903,80
US,Arkansas,30519,311
US,Arkansas,2268,39
US,Arkansas,2084,41
US,Arkansas,32439,498
US,Arkansas,5800,69
US,Arkansas,4580,100
US,Arkansas,7046,86
US,Arkansas,2881,60
US,Arkansas,26268,0
US,Arkansas,9078,164
US,Arkansas,3437,57
US,Arkansas,67515,591
US,Arkansas,21727,271
US,Arkansas,1708,26
US,Arkansas,6777,102
US,California,265590,1760
US,California,126,0
US,California,8998,83
US,California,39239,372
US,California,7590,116
US,California,4508,21
US,California,198614,1235
US,California,5912,48
US,California,29604,193
US,California,249081,2640
US,California,6464,43
US,California,19698,140
US,California,65587,880
US,California,4517,56
US,California,239635,2147
US,California,54504,431
US,California,11377,130
US,California,10672,65
US,California,2802123,30957
US,California,43075,361
US,California,35007,272
US,California,2971,26
US,California,15758,124
US,California,69997,789
US,California,979,7
US,California,3080,5
US,California,91051,704
US,California,26365,134
US,California,17089,122
US,California,582267,6658
US,California,0,0
US,California,69395,591
US,California,3052,13
US,California,614693,6239
US,California,300181,2971
US,California,13329,96
US,California,581401,6641
US,California,789812,5045
US,California,132120,798
US,California,174117,2069
US,California,55406,446
US,California,125568,730
US,California,90039,655
US,California,319886,2195
US,California,48507,254
US,California,36407,573
US,California,314,4
US,California,7108,74
US,California,86117,435
US,California,84380,476
US,California,135908,1676
US,California,22246,217
US,California,14521,158
US,California,1462,20
US,California,131541,1305
US,California,12889,178
US,California,5428,3
US,California,180858,1436
US,California,38965,306
US,California,16841,115
US,Colorado,128957,1235
US,Colorado,4413,60
US,Colorado,147004,1132
US,Colorado,2820,14
US,Colorado,818,8
US,Colorado,2479,47
US,Colorado,60931,344
US,Colorado,12947,111
US,Colorado,4302,42
US,Colorado,318,9
US,Colorado,1499,11
US,Colorado,1693,52
US,Colorado,657,15
US,Colorado,3121,28
US,Colorado,627,18
US,Colorado,5908,130
US,Colorado,164919,1272
US,Colorado,350,8
US,Colorado,75490,398
US,Colorado,15638,35
US,Colorado,179309,1589
US,Colorado,4664,37
US,Colorado,14634,177
US,Colorado,14204,89
US,Colorado,927,4
US,Colorado,3417,23
US,Colorado,3275,14
